CPV Code,Description
32351000Tilbehør,til lyd- og videoutstyr32351100Videoredigeringsutstyr32351200Skjermer32351300Tilbehør til lydutstyr32351310Lydkassetter
32351300Tilbehør,til lydutstyr32351310Lydkassetter
32352000Antenner,og reflektorer32352100Deler til radio- og radarutstyr32352200Reservedeler og tilbehør til radar
32352100Deler,til radio- og radarutstyr
32352200Reservedeler,og tilbehør til radar
"32353000Lydopptak,",lydinnspilling32353100Grammofonplater32353200Musikkassetter
32354000Filmprodukter32354100Radiologifilm32354110Røntgenfilm32354120Diazofilm32354200Kino,film32354300Fotografisk film32354400Polaroidfilm32354500Videofilm32354600Videokassetter32354700Videobånd32354800Krympefolie
32354200Kino,film
32354300Fotografisk,film
32360000Utstyr,til internkommunikasjonsanlegg
32400000Nettverk32410000Lokalnett32411000Token,"ring-nettverk, TR-nett32412000Kommunikasjonsnettverk32412100Telekommunikasjonsnettverk32412110Internett-nettverk32412120Intranett-nettverk32413000Integrerte nettverk32413100Nettverkroutere32415000Ethernett nettverk32416000ISDN- nettverk32416100ISDX- nettverk32417000Multimedianettverk32418000Radionettverk32420000Nettverksutstyr32421000Nettverkskabelsystem32422000Nettverkskomponenter32423000Nettverkshubs32424000Nettverksinfrastruktur32425000Nettverksstyresystem32426000Nettverk publisering-system32427000Nettverkssystem32428000Oppgradering av nettverk32429000Telefonnettverksutstyr32430000WAN, Globalt nettverk32440000Telemetri- og terminalutstyr32441000Telemetriutstyr32441100Telemetriovervåkningssystem32441200Telemetri- og styreutstyr32441300Telematikksystem32442000Terminalutstyr32442100Terminaltavler32442200Klemmekasser32442300Terminalemulatorer32442400Tilslutningsanordninger"
32410000Lokalnett32411000Token,"ring-nettverk, TR-nett32412000Kommunikasjonsnettverk32412100Telekommunikasjonsnettverk32412110Internett-nettverk32412120Intranett-nettverk32413000Integrerte nettverk32413100Nettverkroutere32415000Ethernett nettverk32416000ISDN- nettverk32416100ISDX- nettverk32417000Multimedianettverk32418000Radionettverk"
32411000Token,"ring-nettverk, TR-nett"
32413000Integrerte,nettverk32413100Nettverkroutere
32415000Ethernett,nettverk
32416000ISDN-,nettverk32416100ISDX- nettverk
32416100ISDX-,nettverk
32420000Nettverksutstyr32421000Nettverkskabelsystem32422000Nettverkskomponenter32423000Nettverkshubs32424000Nettverksinfrastruktur32425000Nettverksstyresystem32426000Nettverk,publisering-system32427000Nettverkssystem32428000Oppgradering av nettverk32429000Telefonnettverksutstyr
32426000Nettverk,publisering-system
32428000Oppgradering,av nettverk
"32430000WAN,",Globalt nettverk
32440000Telemetri-,og terminalutstyr32441000Telemetriutstyr32441100Telemetriovervåkningssystem32441200Telemetri- og styreutstyr32441300Telematikksystem32442000Terminalutstyr32442100Terminaltavler32442200Klemmekasser32442300Terminalemulatorer32442400Tilslutningsanordninger
32441000Telemetriutstyr32441100Telemetriovervåkningssystem32441200Telemetri-,og styreutstyr32441300Telematikksystem
32441200Telemetri-,og styreutstyr
32500000Telekommunikasjonsutstyr,og tilbehør32510000Trådløst telekommunikasjonssystem32520000Telekommunikasjonskabler og -utstyr32521000Telekommunikasjonskabler32522000Telekommunikasjonsutstyr32523000Telekommunikasjonsanlegg32524000Telekommunikasjonssystem32530000Satellittrelatert kommunikasjonsutstyr32531000Satellittkommunikasjonsutstyr32532000Parabolantenner32533000Satellittjordstasjon32534000Satellittplattformer32540000Sentraler32541000Sentralutstyr32542000Sentralbord32543000Sentralbord til telefoner32544000PABC-utstyr32545000PABC-systemer32546000Digitalt koplingsutstyr32546100Digitale sentraler32547000Vakuumaktiverte brytertavler32550000Telefonutstyr32551000Telefonkabler og tilhørende utstyr32551100Telefonforbindelser32551200Telefonsentraler32551300Telefonheadsett32551400Telefonnettverk32551500Telefonkabler32552000Elektriske apparater til trådtelefoni eller trådtelegrafi32552100Telefonapparater32552110Trådløse telefoner32552120Nødtelefoner32552130Offentlige telefoner32552140Utstyr til mynt- og korttelefoner32552150Telefoner for svaksynte32552160Telefoner for hørselshemmede32552200Fjernskrivere32552300Koplingsapparater til telefoni eller telegrafi32552310Digitale telefonsentraler32552320Multipleksere til telefonsentraler32552330Telefonkoplingsapparater32552400Apparater til lavfrekvens signalomformer32552410Modemer32552420Frekvensomformer32552430Kodingsutstyr32552500Tekst-TV-apparater32552510Videotekstterminaler32552520Telexutstyr32552600Dørtelefoner32553000Deler til elektriske apparater til telefoni eller telegrafi32560000Fiberoptiske materialer32561000Fiberoptiske forbindelser32562000Optiske fiberkabler32562100Fiberoptiske informasjonskabler32562200Optiske telekommunikasjonskabler32562300Optiske fiberkabler til dataoverføring32570000Kommunikasjonsutstyr32571000Kommunikasjonsinfrastruktur32572000Kommunikasjonskabler32572100Kommunikasjonskabel med multiple elektriske ledere32572200Kommunikasjonskabel med koaksiale ledere32572300Kommunikasjonskabel til spesielle anvendelser32573000Kommunikasjonsbetjeningssystem32580000Datautstyr32581000Datakommunikasjonsutstyr32581100Datatransmisjonskabel32581110Datatransmisjonskabel med multiple elektriske ledere32581120Datatransmisjonskabel med koaksiale ledere32581130Datatransmisjonskabel til spesielle anvendelser32581200Faksutstyr32581210Tilbehør og deler til telefaksutstyr32582000Databærere32583000Data- og stemmebærere32584000Databærende medier
32510000Trådløst,telekommunikasjonssystem
32520000Telekommunikasjonskabler,og -utstyr32521000Telekommunikasjonskabler32522000Telekommunikasjonsutstyr32523000Telekommunikasjonsanlegg32524000Telekommunikasjonssystem
32530000Satellittrelatert,kommunikasjonsutstyr32531000Satellittkommunikasjonsutstyr32532000Parabolantenner32533000Satellittjordstasjon32534000Satellittplattformer
32540000Sentraler32541000Sentralutstyr32542000Sentralbord32543000Sentralbord,til telefoner32544000PABC-utstyr32545000PABC-systemer32546000Digitalt koplingsutstyr32546100Digitale sentraler32547000Vakuumaktiverte brytertavler
32543000Sentralbord,til telefoner
32546000Digitalt,koplingsutstyr32546100Digitale sentraler
32546100Digitale,sentraler
32547000Vakuumaktiverte,brytertavler
32550000Telefonutstyr32551000Telefonkabler,og tilhørende utstyr32551100Telefonforbindelser32551200Telefonsentraler32551300Telefonheadsett32551400Telefonnettverk32551500Telefonkabler32552000Elektriske apparater til trådtelefoni eller trådtelegrafi32552100Telefonapparater32552110Trådløse telefoner32552120Nødtelefoner32552130Offentlige telefoner32552140Utstyr til mynt- og korttelefoner32552150Telefoner for svaksynte32552160Telefoner for hørselshemmede32552200Fjernskrivere32552300Koplingsapparater til telefoni eller telegrafi32552310Digitale telefonsentraler32552320Multipleksere til telefonsentraler32552330Telefonkoplingsapparater32552400Apparater til lavfrekvens signalomformer32552410Modemer32552420Frekvensomformer32552430Kodingsutstyr32552500Tekst-TV-apparater32552510Videotekstterminaler32552520Telexutstyr32552600Dørtelefoner32553000Deler til elektriske apparater til telefoni eller telegrafi
32551000Telefonkabler,og tilhørende utstyr32551100Telefonforbindelser32551200Telefonsentraler32551300Telefonheadsett32551400Telefonnettverk32551500Telefonkabler
32552000Elektriske,apparater til trådtelefoni eller trådtelegrafi32552100Telefonapparater32552110Trådløse telefoner32552120Nødtelefoner32552130Offentlige telefoner32552140Utstyr til mynt- og korttelefoner32552150Telefoner for svaksynte32552160Telefoner for hørselshemmede32552200Fjernskrivere32552300Koplingsapparater til telefoni eller telegrafi32552310Digitale telefonsentraler32552320Multipleksere til telefonsentraler32552330Telefonkoplingsapparater32552400Apparater til lavfrekvens signalomformer32552410Modemer32552420Frekvensomformer32552430Kodingsutstyr32552500Tekst-TV-apparater32552510Videotekstterminaler32552520Telexutstyr32552600Dørtelefoner
32552100Telefonapparater32552110Trådløse,telefoner32552120Nødtelefoner32552130Offentlige telefoner32552140Utstyr til mynt- og korttelefoner32552150Telefoner for svaksynte32552160Telefoner for hørselshemmede
32552110Trådløse,telefoner
32552130Offentlige,telefoner
32552140Utstyr,til mynt- og korttelefoner
32552150Telefoner,for svaksynte
32552160Telefoner,for hørselshemmede
32552300Koplingsapparater,til telefoni eller telegrafi32552310Digitale telefonsentraler32552320Multipleksere til telefonsentraler32552330Telefonkoplingsapparater
32552310Digitale,telefonsentraler
32552320Multipleksere,til telefonsentraler
32552400Apparater,til lavfrekvens signalomformer32552410Modemer32552420Frekvensomformer32552430Kodingsutstyr
32553000Deler,til elektriske apparater til telefoni eller telegrafi
32560000Fiberoptiske,materialer32561000Fiberoptiske forbindelser32562000Optiske fiberkabler32562100Fiberoptiske informasjonskabler32562200Optiske telekommunikasjonskabler32562300Optiske fiberkabler til dataoverføring
32561000Fiberoptiske,forbindelser
32562000Optiske,fiberkabler32562100Fiberoptiske informasjonskabler32562200Optiske telekommunikasjonskabler32562300Optiske fiberkabler til dataoverføring
32562100Fiberoptiske,informasjonskabler
32562200Optiske,telekommunikasjonskabler
32562300Optiske,fiberkabler til dataoverføring
32570000Kommunikasjonsutstyr32571000Kommunikasjonsinfrastruktur32572000Kommunikasjonskabler32572100Kommunikasjonskabel,med multiple elektriske ledere32572200Kommunikasjonskabel med koaksiale ledere32572300Kommunikasjonskabel til spesielle anvendelser32573000Kommunikasjonsbetjeningssystem
32572000Kommunikasjonskabler32572100Kommunikasjonskabel,med multiple elektriske ledere32572200Kommunikasjonskabel med koaksiale ledere32572300Kommunikasjonskabel til spesielle anvendelser
32572100Kommunikasjonskabel,med multiple elektriske ledere
32572200Kommunikasjonskabel,med koaksiale ledere
32572300Kommunikasjonskabel,til spesielle anvendelser
32580000Datautstyr32581000Datakommunikasjonsutstyr32581100Datatransmisjonskabel32581110Datatransmisjonskabel,med multiple elektriske ledere32581120Datatransmisjonskabel med koaksiale ledere32581130Datatransmisjonskabel til spesielle anvendelser32581200Faksutstyr32581210Tilbehør og deler til telefaksutstyr32582000Databærere32583000Data- og stemmebærere32584000Databærende medier
32581000Datakommunikasjonsutstyr32581100Datatransmisjonskabel32581110Datatransmisjonskabel,med multiple elektriske ledere32581120Datatransmisjonskabel med koaksiale ledere32581130Datatransmisjonskabel til spesielle anvendelser32581200Faksutstyr32581210Tilbehør og deler til telefaksutstyr
32581100Datatransmisjonskabel32581110Datatransmisjonskabel,med multiple elektriske ledere32581120Datatransmisjonskabel med koaksiale ledere32581130Datatransmisjonskabel til spesielle anvendelser
32581110Datatransmisjonskabel,med multiple elektriske ledere
32581120Datatransmisjonskabel,med koaksiale ledere
32581130Datatransmisjonskabel,til spesielle anvendelser
32581200Faksutstyr32581210Tilbehør,og deler til telefaksutstyr
32581210Tilbehør,og deler til telefaksutstyr
32583000Data-,og stemmebærere
32584000Databærende,medier
